sentence,overall
"I' d rather have 50 cheeseburgers, which I can then sell to buy a toothbrush and toothpaste!",Neutral
"Cedar Point, Sandusky Ohio",Neutral
As far as I’ m concerned all tweaks that matter( and more) are there. Great job!,Positive
"Witcher 3 Persona 5 Tales of Berseria Dragon age inquisitionFF : Zodiac Age In no particular order, but witcher 3 is at the top definitely, throw in Fallout 4, Dark souls 3 and Bloodborne if you consider them RPGs.",Positive
"I tried most other TB frags and they all suffer from performance issues, sadly.",Negative
"> I love making stew in the fall. Yup, me too. If you' re not starting with a fairly spicy stew, you' ll probably need to adjust the seasonings a bit. Oatmeal' s bland.",Neutral
Interstellar and Contact are both Kip Thorne.,Neutral
You’ re making me want to go to Budapest just to experience this!,Positive
Guitar,Neutral
Shah Rukh Khan Aamir Khan Hrithik Roshan Ajay Devgn Akshay Kumar Salman Khan,Neutral
Ill get downvoted but I liked The Village. Never expected th ending.,Positive
Whiskey and Coke. It' s manly AND sophisticated.,Positive
"That’ s the advantage and disadvantage of this kind of aggregation. It’ s like Rotten Tomatoes. Games that are ranked highly aren’ t necessarily the* best*, they’ re the ones that are most* consistently* highly rated.",Neutral
This might be the most innocent thing I' ve read all day.,Positive
Chiming in on this. . . I love her! I probably re- read Manhunting at least twice a year! That book entertains me every single time.,Positive
Haha yep that does sound complicated. I like your way better. Thanks for sharing!,Positive
I haven' t gotten a chance to go this year. Maybe I' ll make my way there this weekend.,Positive
You' re welcome.,Neutral
Is it good? http:// imgur. com/ G2hZtKz,Neutral
[👉😎👉 ^^^^^*]( https:// am23. akamaized. net/ tms/ cnt/ uploads/ 2016/ 04/ spiderman- gif- 1. gif),Neutral
not with boiling water,Neutral
Low End Theory - A Tribe Called QuestBizarre Ride II - The PharcydeStakes is High - De La SoulThe College Dropout - Kanye West,Neutral
1. SNES 2. PSX 3. PS VITA 4. N64 5. NES,Neutral
Nursing doesn' t sound too bad. Thanks,Positive
"Not sure if this counts because he doesn' t really"" use"" it like a tool, but I' m in a"" father' s day"" mood( I just went looking a few hours ago) and have a really cute story about my dad' s favorite father' s day gift Context: I was always a... strange kid about money and presents. Like, I used to get* seriously* depressed that I couldn' t buy my parents"" real"" gifts- I' d get stressed out and nearly cry over it( I' m still like that a bit tbh, couldn' t tell ya why). This was when I was in elementary school. So, one summer break when I was about 10yo, I was going to day camp. Now, father' s day had already passed, and I was still reeling from my residual"" not getting him a"" real"" gift"" emotions( despite repeated assurances that it was perfectly alright). One day, one of the camp activities was woodburning. I decided that I"" could get dad a real present!"". Since he' s a huge Denver Broncos fan, I found the right stencil to make him a horse. That thing* sucked ass*. The burning was uneven, and the lines were so thick that you could barely tell what it was. I tried to sign my name at the bottom, and it was so light that you couldn' t read the last half. Nonetheless, I was proud of my first"" real gift"" ( not a card), gave it to him after camp, and was content. Fast forward a few years: it' s father' s day and I' m playing around with some ideas, maybe some Broncos merch... How about something for his car! I go to ask: "" Nope, I' ve already got something. Remember the Bronco you made me?"" I laugh about that crap thing, and ask if he would like some* real* merch. "" It* is* real"". To this day, the man won' t budge. My mom and I have both bought him all sorts of team- related items, from all his favorite teams. But he won' t accept anything for his car. A few months ago he got a new car, and brought all his junk inside. He left it right on the counter- I thought he was finally gonna throw it out. Nope- the second he brought the new car home, he walked in, grabbed that horrible excuse for a horse, and proudly but it back where it had been in the old car. TL; DR: My dad refuses to put any other team merch in his car- apperently, I' ve got it covered.",Positive
