idx,text
25285,Their all Spidermen in my book. Their all the best for portraying such an amazing character so well.
25286,"The MCU doesn't deserve Tom Holland, he's putting all of his heart and effort for the character but all of it goes to waste with the shittiest scripts of any Spider-Man movie, so, I think I'll go with Tobey in this one"
25287,"Holland's Spider-Man doesn't really feel like Spider-Man to me. He feels like an entirely different character. Not necessarily a bad thing because the MCU is vastly different to the main universe, but he just doesn't feel like Spider-Man to me."
25288,Yuri lowenthal is the only right choice.
25289,Nice choice!
25290,Sorry I don’t dig the whole “Parker is a Stark dickrider” spiel with Tom. Tobey’s still my favorite and always will be.
25291,very frank opinion
25292,Tobey for me always. Not just for nostalgia but because his felt the most human. Spider-Man 2 did the best job at showing this and it did a great job of showing why he’s such a relatable character with his own struggles like all of us. Tom is well on his way to being a great character on his own without all the Iron Man tech and tying Tobey for my favorite live action version of Spidey.
25293,Damn everyone are such marvel sell-outs! I mean the dream spiderman beat out Tobey by a mile!
25294,"As a proud raimimemer, Tobey all the way.

Why? Cheesy, Superhero nostalgia.

Superhero movies are mostly way too serious now than the Raimi Spider-Man trilogy ever was. And that's fine when the story requires it, but a superhero movie is basically us suspending disbelief in order to enjoy this two hour feature, so no one would really mind if some things were over the top.

It's why Shazam is good too. I really enjoyed it."
25296,"Andrew Garfield was the most accurate live action Spider-Man. He had the looks of 616 Peter, a long with the wit and personality to play both Peter and Spider-Man. Its a shame he got dealt such a shitty hand. Cause I would've loved to see him trade quips with Downey's Stark and the rest of the MCU

Tobey was awkward and too soft spoken, leaving for some really jarring scenes. And he certainly was never convincing as Spider-Man at all.

Tom kinda feels like he's channeling both Tobey's and Andrew's versions together sometimes. But I hate how they characterize him as Stark's sidekick. And his Spider-Man comes off as incompetent. He isn't really funny either. Its more like funny stuff happens to him or around him. Again going back to his Spidey being incompetent. I also don't see Peter Parker when I look at him."
25297,"Garfield could have been the perfect one. He is the definitive casting for Peter Parker, he got the looks, the attitude, everything right. But he was stuck in a bad movie.

Tom is great, and he has the advantage over Andrew of actually having a good script to work with.

Loved Toby as a child, i think he was good for the time, but the lack of quips and his overall dummy attitude (which is not supposed to last 3 movies after he gains the powers, he should be confident by Spider-Man 2), makes me think he is the worst Peter Parker ever put in screen. Not that he was bad, he was great for the movie he was in, but as a adaptation of the Spidey i know from the comics? Didn't came close. (Even though his stories were pretty much comic accurate.)"
25298,"Best: Garfield was the most accurate ultimate/616 Peter in live-action.

Worse: Holland, Don't see Peter Parker just see miles Morales"
25299,"Tobey’s my favorite Spidey for the fact that raimi got his motivation right, this one being “great power, great responsibility”. Garfield’s motivation was revenge and Tom’s spidey wants to prove himself to the Avengers, he does show some of responsibility in Homecoming and I really liked that line in Civil War “when you can do the things that I can...”.  but I feel they need to show more of that and less of “ look at me, Mr. Stark!”.

Don’t get me wrong,  every Spider-man movie version has been great in their own right, but I feel that the original trilogy just resonates more with me."
25300,I'll start the Tobey Maguire fan lines. I prefer his first two movies.
25301,Josh Keaton
25302,i see youre a man of culture as well
25303,Maquire was a great Peter Parker and a bad Spider-Man. Garfield was the opposite. Holland is great at both.
25304,Tobey wasn’t even a bad Spider-Man. He was a good Spider-Man. It’s just cause he doesn’t quip as much in comparison to the other two.
25305,"I think the quips are a big part of the modern Spider-Man. However, Tobey was my introduction to my favorite hero so he does hold a special place in my heart."
25306,Hmm kinda agree with that. Now that I think about it.
25307,"Peter Parker: Tom Holland

Spider-man: Tom Holland

Love Interest: Emma Stone, but I think Zendaya has the potential to take the crown. 

Aunt May: Marissa Tomei

Best Friend: Ned

Flash: ASM

Uncle Ben: Raimi

Story: SM2, but I find ASM to be the one I rewatch most. 

Overall, I like the MCU casting the most but find the plot of Homecoming a little underwhelming compared to SM2 and ASM."
25308,Holland. Just on look and how he plays the character feels like peter Parker
25310,tom
25311,"As a fellow member of r/raimimemes, it’s Tobey.


Nostalgia, campiness, the memefest of quotes and scenes, I love all 3 of the movies."
25312,"Tom Holland, but that might also be because I'm a 2000's kid"
25313,Same here for both.
25314,I was born in the 80's and I agree with this sentiment as well.
25315,"Tobey was a good Peter Parker

Garfield was a good Spider-Man

Holland, so far, is the best of both"
25387,"Imagine, I can remember it (I grew up in England btw)"
25388,Was true for over a decade. Also technically 5 not 6.
25389,And motherfucking Gilly didn't even try to be decent about it. Imagine the shame when the no. 7 batsman whacks you consistently at 80 SR
25390,"Australia by a mile. Bradman is a cheat code himself, and with Gilchrist providing an extra boost at the wicketkeeper batsman I don't see any other team coming close. 

For the all rounder spot, I would pick Keith Miller (bat avg 37, bowling avg 23), or Steve Waugh(over 10k test runs at 50+ average) if you want to make the strongest batting lineup. Waugh can do the 5th bowler job easily when you have 4 great frontline bowlers. If you want to go with 5 proper bowlers, choose Keith."
25391,"I'm not sure that Australian batting line up can play well in India! Barring Hayden, others sound struggle I think. Even Hayden also had only that one dream tour in 2001 while he didn't perform extraordinarily on other tours to India.
And yeah, Smith to some extent."
25392,"Yeah. Bradman basically is that trump card which works everywhere. You can make the crappiest of batting line ups and put Bradman there and suddenly that team can probably beat any other team in the world. 

&#x200B;"
25393,Did Bradman play in India? I Genuinely dont know.
25394,"He didn't. India toured Aus and his avg in that series was over 150. This is an article which discusses what avg he might have had in India if he had toured.

&#x200B;

[https://www.cricketcountry.com/articles/how-much-would-don-bradman-have-averaged-had-he-played-in-india-594805](https://www.cricketcountry.com/articles/how-much-would-don-bradman-have-averaged-had-he-played-in-india-594805)

&#x200B;

In my opinion, he would have killed in India too. He was just that good. You can't have an average that's almost double of any other great player of every era without actually being that good. A century can be a fluke; an average of 100 isn't."
25395,What about if we took out Bradman and replaced him with Hussey or Clarke or Border
25396,All average 50 or near and are class fielders. Still not many people could top them on their day.
25397,"Greg Chappell's next in. I'd probably play him ahead of Smith tbh, he's Ponting-tier."
