idx,text,query
4029,"If I was going back to school, this is what I'd do. I did a lot of research of the online options and a not for profit, at your own pace school really seemed like the best way to go.",best online college
10528,Well yeah. His books are compilations of things he has learned. Not things that he invented out of nothing.,best suitcase lock
46004,Those look like Chinese knockoffs.,best trick or treating candy
13805,"Kahneman & Tversky's prospect theory is great. Here is an easy to read (hard to accept) [review paper](http://webs.wofford.edu/pechwj/Choices,%20Values,%20and%20Frames.pdf).  They won the nobel prize in economics.",best research paper archive
56184,"Your point is valid and to be honest when I replied about the good, the bad and the ugly, I wasn't paying attention.  It had been awhile.  So I had to reread the thread.

I would choose Silverado.",best action and adventure movie
36897,"Here:

1. Great America
2. Over Georgia
3. Over Texas
4. St. Louis
5. Fiesta Texas
6. Darien Lake
7. Great Adventure 
8. SF America

Great America is the cleanest, has the most well rounded collection of rides, a good layout, decent theming, decent food, and the best operations and customer service. Never had a bad day there.

The original 3 SF parks have a certain charm to them, more history, and a lot of tree cover. Georgia is the prettiest and has the best coaster collection. Texas has a good collection, has a gorgeous old section, but an ugly Gotham section. St. Louis is beautiful and has the best woodie collection out of the SF parks, but lacks in steel coasters. 

Fiesta Texas is beautiful, but doesn't have as much of an abundance of good rides. There's very little shade. However, the theming is the best in the chain, and three of the coasters use the terrain, and they make the trip worth it.

Darien Lake had the best food I've had at a SF park, and had a shockingly awesome coaster collection, at least four very underrated coasters. Very little ads, and a unique feeling to the park, and very pleasant. 

Great Adventure has great coasters and the skyride makes getting around easier, but that's it. The park is very ugly and needs a fresh coat of paint, and the food is quite bad. SFA has the same issue, except with a worse layout, no transportation, and not as many rides.",best roller coaster at six flags
15645,[American Optical](https://www.amazon.com/AO-Eyewear-Original-Sunglasses-OP55S-BA-TC/dp/B000LJJAF6/ref=sr_1_1?ie=UTF8&qid=1525966984&sr=8-1&keywords=american+optical),best sunglasses for fashion
36294,"Gin, tonic and a slice of cucumber. Couldn't beat it with a big stick.",best alcoholic drink
36503,"Agreed, fully. I live in hipster IPA haven, and the number of people that won't drink an icy Natty Light at tailgate is unreasonable. I like hops as much as the next guy, but even 'crap beer' has its place. My husband and I split a bottle of pricey-as-fuck pinot noir for our anniversary dinner and it was splendid, but I would use it to cook. Context matters!",best alcoholic drink
65953,"Lmao, it was the early 1970s when they indefinitely pauses the football program.",best college in california
19950,"IMO for Daft Punk, I'd do Harder Better Faster Stronger over One More Time, but that's just me :)",best workout music
55058,Ticonderoga here!,best places to hike in the east coast
68067,Feel like the canticle of lebowitz is missing from your list.,best science fiction novel
7474,All good! Thank you though! :),best laptop for general use
30969,"USA for me - Somewhere like Boston or Seattle

p.s I am from Australia",best country to live in
37159,"WalibiHolland, Phantasialand",best amusement park
39584,"I am by no means a astrophysics major, but I love Star Talk at www.startalkradio.net
You can't go wrong with Neil De'Grasse Tyson!",best podcast for biologists
40354,"Look at something line this, but replace the gpu with a 3070 when it will be available at 550$ again https://pcpartpicker.com/guide/qzLrxr/modest-amd-gaming-build",best midrange GPU
49079,"I love the 27GL850
IPS panel looks fantastic, input lag is at a minimum, and I haven’t noticed any ghosting or backlight issues.",best gaming monitor
24190,Now this is an actual great goddamn list,best anime
32840,does it still up?,best free online grammar checker
71619,The Cabin in the Woods.  I shall say no more.,best movies with a cool twist
64976,This is a hilarious mental image,best places to eat in Santa Barbara
58374,"Chloroform, it works every single time.

EDIT: They always end up going home with me.",best cologne
19640,REEKRIS!,best YouTube video
