idx,text,query
44431,"You ain't never had a squeaky clean butthole til you've tried washing with a detachable shower head. Especially if you get one where you can switch to a stream instead of spray.

(Well, unless you live somewhere where bidets are common, I guess)",best items under $100
33710,"Never driven one so I will be going based on theory.

Positives

* Intant torque
* Cheapt to refuel
* Quiet
* No direct polution

Negatives

* Expensive to purchase
* Low range (on cheaper models)
* Battery degradation which reduces the range even more
* Longer refuel times
* Limited body style choises(Hatchbacks,Saloons and SUVs)
* Less places to recharge the car
* Most of them are ugly(Subjective opinion)

Overall eletric vehicles aren't at that point where I would be considering buying one.

EDIT:Not related to the subject at hand, but damn OP isn't really doing well in his life after i clicked on his profile and saw that post he made. I don't trully know what to say about that, but I hope life gets better for you.",best electric car
73200,"Elementary OS is quite nice. It has sane defaults and editing is quite pleasant. Granted, if you want to do any customizing, you'll need to get your hands dirty with the terminal, but it's good for staying out of your way.",best Linux distro
43695,"Play some The Cure and let it talk about its feelings. Once it hits 20 or so, it'll mature up",best items under $100
66533,"Doubt it. Were pretty poor in the qualifiers, lost a couple of nations league games and I doubt we picked up many points in the play offs.",best soccer team in the world
52122,I've got one of these on the way after my experience with the 4S Lifeproof case. I've heard that there is some muffling of the earpiece. Have you experienced that?,best iphone case
22639,"The problem with Shawn is that he is exactly the opposite of what snowboarding is about. He goes for medals, tries to be the best ever, and only does pipe and spins. Considering this is such a small part of snowboarding and the culture, he's pretty much been ostracized from the community.

Honestly, I think the guy just needs a friend.",best celebrity
38476,"One of my favorite things to do is to plop myself down at the counter at my favorite diner, order a cup of coffee, a bowl of fruit, and maybe an egg sandwich, and just nibble, sip from the constantly refilled cup of coffee, and read the local paper for 2-4 hours.  It costs about $10, including tip, fills me up with caffeine and good food, and is very informative and relaxing.",best newspapers to read
19433,"GreyStillPlays has the same energy as both of them, if you don't watch his videos do it. He's great.",best YouTube video
10496,https://www.schneier.com/blog/archives/2009/10/evil_maid_attac.html,best suitcase lock
7690,"If durability matters a lot, I'd say go for the Lenovo ThinkPad L14. The added benefits are that you get upgradable RAM and storage, and you get a more durable laptop. The Flex 5 is still a decent 2-in-1 option, though.",best laptop for general use
41112,"To the point where Firefox tags it as a spelling error, yes.",best instrument to play
2311,Bakersfield Pizza Co!,best pizza place in Santa Barbara
62887,"I am not in bioinformatics currently, though I am a published author in bioinformatics (Scientific Reports; a novel algorithm and software system designed for use by CRISPR genetic editing researchers; happy to talk with you about it if you're interested.) I now work in higher education on a number of projects. Some of the details are a little hush-hush right now because I work with privacy-protected information, but a paper is forthcoming on my largest project: how I achieve pretty amazingly high accuracy predicting grades across the entire college for non-traditional adult students.",Best Data Science textbook
51566,Do you get the spigen glass screen protector?,best iphone case
11974,This is every fucking day not fathers day. I can relate bud.,best gifts for dad
54606,"I have the zero mid,is the soft slower?",best artisan mousepad alternatives
23137,"I'm not a manager or hiring person. However, in the circumstance above where I googled an employee or looked them up on facebook and I couldn't find anything on them... I'd think they were either really good at keeping themselves personal... Or they were a shut in. It wouldn't effect whether or not I interviewed the person, but I'd keep an eye out for anti-social tendencies. Regardless of your position, you're most likely going to have to work with other people. And if you're a front-facing position you'll have to do it often and with people you won't like. Being social and friendly is always a positive to an employer.",best social networking site for CS
18621,"Lets get this out onto a tray!




NICE!",best YouTube video
15374,My family viewed them as a nuisance tree for some reason but I always thought they were pretty. Called them popcorn trees.,best tree for the garden
33691,"I have yet to see this anywhere in Austin, TX and Austin is a tech city with tons of EVs and is also building new apartments every other block. I wish what you said was the case but it's not a reality where I am",best electric car
56908,Ice cold Topo Chico,best water brand
69156,I'll tell you what the most useless major is.... film. Don't end up like me; speak to smart people not to counselors.,best major to study in college
42678,Hotel Beau Sejour!    It seems perfect for you!,best detective show
1092,"Mint Cookie Crumble, and Rocky Mountain Raspberry.",best ice cream flavor
