idx,query,text
17446,best iOS game,"Quell! Great puzzle game, highly recommend checking it out if you haven’t."
2819,best headphones,"I don't use it regularly, when I judge headsets I use them stock first, then slowly try to flatten them with Eq. But that's not really good for gaming. But I didn't save my eq for it. Also do not use the cooler master eq."
14397,best romantic novel,You and me both!
67166,best places to skydive in california,"Also Taft as they run a group discount. Though depending on what you want (time to jump or weird fun people) Perris and Elsinore might be better though they are much a lot less personal. All three places are insured and safe when it comes to tandems. Perris also has indoor skydiving. If you want really cheap then Lodi. No matter what, get video."
30160,best Mexican war to study,So the takeaway from this story is that this Santa Anna dude was pretty bad.
29983,best money managing app,I think you mean tin foil glasses
62076,Best RPG game on PS4,"scarlet nexus? it's more like a hack and slash than an rpg but it does have a lot of rpg mechanics in it, if you like dmc or spiderman i think you can get a kick out of it"
55399,best action and adventure novel series,"I have! I love GGKs Prose, he has that melancholic tragic tone that cuts through everything. 

my favourite GGK is Sailing to Sarantium."
57682,best cologne,"Ditto on Hanae Mori, I use HM in the summer and HiM year round. Great for us college kids on a budget, though I should have gone with the EDP. Will next time!"
4863,best home improvement store,"Yeah, this is what my plumber said too.  If you can fix it, home depot.  If you need help, ACE is better."
7324,best laptop for general use,"This is a Fakespot Reviews Analysis bot. Fakespot detects fake reviews, fake products and unreliable sellers using AI.

Here is the analysis for the Amazon product reviews:

>**Name**: ADATA SU650 120GB M.2 2280 SATA 3D NAND Internal SSD (ASU650NS38-120GT-C) 

>**Company**: MISC

>**Amazon Product Rating**: 4.6 

>**Fakespot Reviews Grade**: A

>**Adjusted Fakespot Rating**: 4.6

>**Analysis Performed at**: 06-12-2021 

[Link to Fakespot Analysis](https://fakespot.com/product/adata-su650-120gb-m-2-2280-sata-3d-nand-internal-ssd-asu650ns38-120gt-c) | [Check out the Fakespot Chrome Extension!](https://chrome.google.com/webstore/detail/fakespot-analyze-fake-ama/nakplnnackehceedgkgkokbgbmfghain)

*Fakespot analyzes the reviews authenticity and not the product quality using AI. We look for real reviews that mention product issues such as counterfeits, defects, and bad return policies that fake reviews try to hide from consumers.*

*We give an A-F letter for trustworthiness of reviews. A = very trustworthy reviews, F = highly untrustworthy reviews. We also provide seller ratings to warn you if the seller can be trusted or not.*"
41471,best instrument to play,"What music do you want to play?

is probably a good question to ask yourself at this point, to help guide your decision."
28858,best breakfast foods,"True. But I make mine with frozen spinach. Blitz w some water then add a banana and handful of frozen mango. That’s it. Very energizing and affordable. Ps, I’m a dietitian"
47649,best state to visit in the United States,Devils lake in Baraboo is awesome too
60218,best freezer brand,"Right, mine is massive and I hate the process of defrosting. It must be pushing 15-20 years old now, I should really look into how efficient it is compared to new models at some point."
21759,best winnie the pooh comic,Define-a-telly please do
35923,best alcoholic drink,"Gah, my friends and i would pull our cash together and buy some cheap plastic jug vodka. it was terrible. i have absolutely no clue how i was able to drink that."
54165,best medicine for a cold,"Wait, who is locking up guaifenesin? Unless you mean Mucinex D, which has pseudo in it, I'm not aware of anywhere that does this. Just curious."
53373,best usb c charging cable,"> You can get connectors for such

Maybe you can get the connectors but gen 2 C-C cables ?

>  There's also another vendor with magnetic connectors to swap out the connector plugs,

Not sure how magnetic connectors got into this, but yes, those exist, mostly non-standard but let's hope the Thundermag works. I haven't seen any other magnetic connector which attempts full USB C compatibility."
14889,best romantic novel,You’re in for a treat! The second book is better than the first
58451,best cologne,I have that one
43241,best detective show,"Continuum was pretty good. 

Orphan Black. 

Breaking bad."
290,best terminal file manager reddit,"Me too. I like it customizability and flexibility. It's even better when combined with the ranger-plugin that come [z.lua](https://github.com/skywind3000/z.lua), which I have bound to cj (I used auto-jump before this, which used that binding as well).

I also really like how well it integrates with my keyboard-driven setup. I'm on i3 and I use a lot of programs that have similar keybindings, like Neovim and qutebrowser. i can even use it inside Neovim (including all settings and plugins)."
59052,best perfume,Thank you so much I appreciate it!
53969,best medicine for a cold,"We also have a limit on what to sell everyday. I've had to turn people away when we can't have any on the shelf. If your toothless and twitchy, you're probably not getting any."
